City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,baise city,23.8997,106.6133,15.49,61,62,0.75,CN,1701977219
293,san luis de la loma,17.2706,-100.8939,29.7,59,100,2.25,MX,1701977219
294,xiantao,30.3833,113.4,15.11,45,90,5.03,CN,1701977219
295,al ghayzah,16.2079,52.176,25.0,53,15,3.23,YE,1701977220
296,lubartow,51.4603,22.6095,-3.59,93,88,3.86,PL,1701977220
297,fale old settlement,-9.3852,-171.2468,28.92,73,100,3.06,TK,1701977183
298,remire-montjoly,4.9167,-52.2667,31.02,70,75,7.2,GF,1701977220
299,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,6.69,EC,1701976957
300,mattarello,46.0079,11.1285,5.87,67,0,4.63,IT,1701977221
301,zhezqazghan,47.7833,67.7667,-10.89,50,100,5.83,KZ,1701977221
302,marka,1.7159,44.7717,26.64,75,1,6.37,SO,1701977221
303,primero de mayo,-32.2552,-58.4228,26.57,60,76,4.54,AR,1701977222
304,soko,-7.4832,112.427,24.83,88,100,1.07,ID,1701977222
305,callao,-12.0667,-77.15,22.16,68,75,5.14,PE,1701977177
306,noyabrsk,63.1994,75.4507,-27.09,90,100,4.47,RU,1701977223
307,san patricio,28.017,-97.5169,24.97,54,100,6.43,US,1701977223
308,ola,59.5833,151.2833,-11.15,78,100,6.26,RU,1701977223
309,maintirano,-18.0667,44.0167,27.74,74,100,2.94,MG,1701977224
310,hasaki,35.7333,140.8333,9.05,42,0,4.11,JP,1701977224
311,san clemente del tuyu,-36.3569,-56.7235,18.88,68,0,7.03,AR,1701977224
312,farah,32.5,62.5,9.8,21,0,1.15,AF,1701977225
313,karratha,-20.7377,116.8463,31.25,26,0,7.0,AU,1701977225
314,el calafate,-50.3408,-72.2768,16.06,42,22,2.42,AR,1701977225
315,nanping,26.645,118.1736,9.24,82,0,0.91,CN,1701977226
316,carnot,4.9409,15.8665,22.73,92,100,2.07,CF,1701977226
317,sabang,5.8933,95.3214,27.58,80,100,5.48,ID,1701977226
318,sainte-suzanne,-20.9061,55.6089,26.1,83,100,5.14,RE,1701977227
319,klyuchi,52.2667,79.1667,-20.74,72,98,3.88,RU,1701977227
320,cooper's town,26.8667,-77.5167,21.38,55,40,4.35,BS,1701977227
321,betio village,1.358,172.9211,27.02,80,100,7.65,KI,1701977228
322,san rafael del sur,11.8485,-86.4384,31.54,52,1,6.99,NI,1701977228
323,narrabri,-30.3167,149.7833,24.18,66,42,0.89,AU,1701977228
324,luorong,24.4058,109.6086,15.52,53,45,1.18,CN,1701977229
325,baharly,38.4362,57.4316,11.66,54,100,1.38,TM,1701977229
326,varoska rijeka,45.0847,16.0142,1.43,83,6,1.03,BA,1701977229
327,bataipora,-22.2953,-53.2711,26.42,72,100,2.84,BR,1701977229
328,idri,27.5,13.2667,15.78,30,0,4.91,LY,1701977230
329,mishkino,55.3389,63.9175,-27.99,95,6,2.47,RU,1701977230
330,darwin,-12.4611,130.8418,24.99,93,98,2.06,AU,1701977230
331,neiafu,-18.65,-173.9833,26.38,89,40,3.09,TO,1701977230
332,sao felix do xingu,-6.6447,-51.995,31.09,56,53,4.62,BR,1701977231
333,bryne,58.7354,5.6477,0.81,70,0,2.06,NO,1701977231
334,nema,57.5067,50.5011,-30.48,100,11,1.4,RU,1701977231
335,smara,26.7384,-11.6719,19.48,53,100,3.77,EH,1701977231
336,darasun,51.6667,114.0,-24.46,100,83,0.91,RU,1701977232
337,zeerust,-25.5369,26.0751,24.72,42,74,3.06,ZA,1701977232
338,'ain deheb,34.8422,1.547,11.91,78,21,2.54,DZ,1701977232
339,guararapes,-21.2608,-50.6428,36.14,30,88,2.62,BR,1701977137
340,sur,22.5667,59.5289,22.9,49,0,1.22,OM,1701977233
